abide,respecter,42
about,sur,365
above,au dessus,124
abroad,à l'étranger,63
absence,absence,55
abuse,abuser de,72
according,selon,34
account,Compte,54
accuse,accuser,48
acquainted,connaissance,41
action,action,229
advantage,avantage,85
advice,Conseil,43
affairs,affaires,66
affection,affection,113
affections,affections,40
afraid,peur,41
after,après,456
afterwards,ensuite,0
again,encore,1204
alive,vivant,89
almost,presque,138
alone,seul,230
along,le long de,108
already,déjà,139
although,bien que,37
always,toujours,59
ambition,ambition,46
ancient,ancien,75
angel,ange,124
anger,colère,414
another,un autre,368
answer,répondre,454
anything,n'importe quoi,100
apparel,vêtements,47
appear,apparaître,213
appears,apparaît,0
approach,approche,87
argument,argument,77
ariel,Ariel,0
armour,armure,54
aside,de côté,132
asleep,endormi,59
assure,assurer,62
athens,Athènes,0
attend,assister,278
attended,assisté,0
authority,autorité,51
avoid,éviter,48
awake,éveillé,66
awhile,quelque temps,101
banish,bannir,185
barren,Dénudé,39
bassianus,bassianus,0
bastard,Connard,84
battle,bataille,146
beard,barbe,118
bearing,palier,65
bears,ours,102
beast,la bête,123
beaten,battu,48
beauty,beauté,222
because,car,81
become,devenir,184
bedford,Bedford,0
before,avant,627
beggar,mendiant,116
begin,commencer,173
behalf,nom,46
behind,derrière,114
behold,voir,154
being,étant,542
believe,croyez,196
belike,être comme,22
below,au dessous de,52
benefit,avantage,47
besides,outre,49
betray,trahir,65
better,mieux,578
between,entre,192
beyond,au-delà,41
birth,naissance,101
bishop,évêque,36
bitter,amer,93
black,noir,169
blame,faire des reproches,92
bless,bénir,242
blessing,bénédiction,0
blest,heureux,79
blind,aveugle,100
blood,du sang,914
blows,coups,69
blunt,cru,38
blush,rougir,83
bodies,corps,44
bones,des os,75
borne,supporté,91
bottom,bas,40
bought,acheté,51
bound,lié,218
bounty,prime,41
brain,cerveau,147
brains,cerveaux,0
brave,courageux,199
breast,Sein,115
breath,souffle,339
breed,race,106
brief,bref,100
bright,brillant,78
bring,apporter,445
broke,cassé,234
brook,ruisseau,50
brother,frère,671
brought,apporté,186
brows,sourcils,48
burden,fardeau,58
buried,enterré,56
burning,brûlant,50
business,Entreprise,235
cannot,ne peux pas,713
capitol,Capitole,0
captain,capitaine,73
cardinal,cardinal,12
cares,se soucie,35
carry,porter,102
castle,Château,61
catch,capture,89
cause,cause,461
cease,cesser,63
certain,certain,218
chain,chaîne,78
chair,chaise,45
challenge,défi,54
chamber,chambre,147
chance,chance,196
change,changement,234
charge,charge,263
charity,charité,54
chaste,chaste,44
cheek,joue,150
cheer,acclamation,120
chide,gronder,55
chief,chef,143
child,enfant,366
choice,choix,72
church,église,88
cinna,cinna,0
citizen,citoyenne,62
civil,civil,63
claim,prétendre,186
clarence,clarté,0
claud,claud,0
claudio,Claudio,0
clear,clair,83
clifford,Clifford,0
close,proche,158
cloten,cailloter,0
clothes,vêtements,41
clouds,des nuages,55
clown,pitre,19
college,Université,4
colour,Couleur,158
comes,vient,616
comfort,confort,239
coming,venir,158
cominius,cominius,0
command,commander,264
commanded,commandé,0
commend,saluer,118
commercial,commercial,0
commission,commission,52
commit,commettre,72
common,commun,226
companion,un compagnon,53
company,entreprise,212
complete,Achevée,20
complexion,complexion,47
condition,état,84
conduct,conduite,51
confess,avouer,166
conscience,conscience,122
consent,consentement,102
consider,considérer,73
constable,gendarme,19
constant,constant,69
contempt,mépris,50
content,contenu,247
contrary,contraire,47
copies,copies,4
copyright,droits d'auteur,7
